AI GET    /ai_agent_default                                                      | Get AI agent default configuration | mode,language,model
User avatars GET    /users/{user_id}/avatar                                                | Get user avatar | user_id
User avatars POST   /users/{user_id}/avatar                                                | Add or update user avatar | user_id
Users DELETE /users/{user_id}                                                       | Delete user | user_id,notify,force
Users GET    /users                                                                 | List enterprise users | filter_term,user_type,external_app_user_id,fields,offset,limit,usemarker,marker
Users GET    /users/me                                                              | Get current user | fields
Users GET    /users/{user_id}                                                       | Get user | user_id,fields
Users POST   /users                                                                 | Create user | fields
Users PUT    /users/{user_id}                                                       | Update user | user_id,fields
Watermarks (Files) DELETE /files/{file_id}/watermark                                             | Remove watermark from file | file_id
Watermarks (Files) GET    /files/{file_id}/watermark                                             | Get watermark on file | file_id
Watermarks (Files) PUT    /files/{file_id}/watermark                                             | Apply watermark to file | file_id
Watermarks (Folder DELETE /folders/{folder_id}/watermark                                         | Remove watermark from folder | folder_id
Watermarks (Folder GET    /folders/{folder_id}/watermark                                         | Get watermark for folder | folder_id
Watermarks (Folder PUT    /folders/{folder_id}/watermark                                         | Apply watermark to folder | folder_id
Workflows GET    /workflows                                                             | List workflows | folder_id,trigger_type,limit,marker
Workflows POST   /workflows/{workflow_id}/start                                         | Starts workflow based on request body | workflow_id
TOTAL: 207
